Label ID,Short Code
204,Acr_BR
187,Acr_TA
2962,Agaric_EN
2428,Agaric_FO
109,Agaric_MA
1282,AlvGon_CO
4957,AlvGon_EN
3208,Anemone
60,Astreo
1146,Bare Rock
2628,Bare Rub
1829,Bivalve
119,Bleach_HC
564,BLGR
3275,Blk_Coral
6169,Brain_EN
108,Brain_MA
423,Caulerpa
1458,CCA_DHC
791,CCA_H
792,CCA_Rub
1648,COTS
3716,Dead Clam
105,Dead HC
3525,Debris
503,Dictyota
5034,EchDipE_EN
6163,EchDipE_MA
3533,Echinop_BR
1337,EMA
5037,fFav_EN
5038,fFav_MA
760,Galaxea
637,GiCl
5945,GiCl Ti
117,Goniastrea
403,Halimeda
242,HC_BR
3097,HC_CO
239,HC_EN
238,HC_FO
3095,HC_FREE
237,HC_MA
3470,HC_SOL
4905,HC_UNK
2418,Holo
267,Hydrocoral
68,Lobophyl
1324,MA_Brn
1323,MA_Grn
2872,MA_LRP
1325,MA_Red
1338,MA_Up
1126,Mbl Fauna
79,Millepora
620,Monti_BR
621,Monti_EN
2064,Monti_FO
5069,Monti_MA
428,Padina
78,Phaceloid
609,Plerog
73,Pocill
1413,Por_BR
5092,Por_CO
4929,Por_EN
5093,Por_FO
1974,Por_MA
2514,Rhodo
84,Sand
94,Seagrass
228,Sea Star
1639,Sed Fine
6588,Sed Rubble
189,Seriatop
222,SHAD
1343,Soft Coral
102,Sponge
147,Sponge_EN
281,Sponge_MB
185,Styloph
1827,TAPE
3328,TRF_DHC
6606,TRF_MA_SED
3299,TRF_Rock
2230,TRF_Rub
5195,TRF_Sed
2453,TRF_Thick
435,Turbin
199,Turbinaria
3930,Tydem
1321,Uncl SI
1647,UNK
342,Urchin
5947,Urch_LSP
2545,WAND
1175,Xeniidae
133,Zoanthid
